Country,Class,Region,SR_2016,SR_2015,SR_2010,SR_2005,SR_CHG_1015,SR_p_CHG,M_2016,M_2015,M_2010,M_2005,F_2016,F_2015,F_2010,F_2005,Alc_2016,Alc_2015,Alc_2014,Alc_2013,Alc_2012,Alc_2011,Alc_2010,Alc_2009,Alc_2008,Alc_2007,Alc_2006,Alc_2005,Alc_Chg_1015,Alc_p_Chg,Heavy_ttl_2016,govt_exp_mental/health_2011,govt_exp_hosp/health_2011,govt_exp_mh,govt_exp_hosp,mh_legis,mh_plan,mh_policy,psychiatrist_2014,psychiatrist_2011,psychiatrist_chg,psychiatrist_p_chg,nurse_2014,nurse_2011,nurse_chg,nurse_p_chg,sowork_2014,sowork_2011,sowork_chg,sowork_p_chg,psychologist_2014,psychologist_2011,psychologist_chg,psychologist_p_chg,hosp_2011,outpatientfac_2011,daytreat_2011,communityres_2011,b_hosp_2011,b_outpatientfac_2011,b_daytreat_2011,b_communityres_2011,beds_gen_hosp_2014,beds_gen_hosp_2011,beds_gen_hosp_chg,beds_gen_hosp_p_chg,beds_comm_res_2014,beds_comm_res_2011,beds_comm_res_chg,beds_comm_res_p_chg,beds_mh_2014,beds_mh_2011,beds_mh_chg,beds_mh_p_chg,child_abuse_pgm_12-14,youth_viol_pvn_12-14,dom_abuse_12-14,sen_abuse_12-14,conf_alc_disorder_2014,conf_drug_disorder_2014,awr_binge_drinking,awr_dom_viol,awr_eld,awr_hiv,awr_work/sprts,awr_dd,awr_illalc,awr_indig,awr_preg,awr_harmother,awr_youthdrink,treat_sub_alt,treat_sub_add,treat_alc_alt,treat_alc_add,alc_policy_writ,alc_policy_before,alc_policy_during,alc_policy_rev,alc_policy_rev/add_during,che_2015,che_2011,che_2010,che_chg,che_p_chg,unemp_adv_2010,unemp_adv_2015,unemp_chg,unemp_p_chg,risk_impov_hc_2010,risk_impov_hc_2015,risk_impov_hc_chg,risk_impov_hc_p_chg,pop_2010,pop_2015,chg_pop,SR_act_2010,SR_act_2015,std_sr
Latvia,H,Europe & Central Asia,21.2,21.6,22.7,26.7,-1.1,-0.05,37.6,37.4,42.3,46.2,7.3,8.2,6,10.2,11.19,10.82,10.6,10.43,10.2,10.11,9.83,9.85,11.84,12.12,10.4,9.92,0.99,0.100712106,59,5.9,0.64,6454.01,700.096,1,0,1,12.05,10.85,1.2,0.11,,30.76,,,,,,,,,,,0.27,3.35,0.22,,1,1,1,1,10.83,12.28,-1.45,-0.12,,,,,105.09,107.26,-2.17,-0.02,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2005,1,0,2012,1,1429.3,1093.9,1070,359.3,0.34,10.13129997,5.369699955,-4.761600018,-47%,14.6,11.4,-3.2,-0.22,2097555,1977527,-120028,476.144985,427.145832,0.95154185
Lebanon,UM,Middle East & North Africa,3.3,3.3,3.2,3.1,0.1,0.03,4.2,4.2,3.9,3.9,2.4,2.4,2.5,2.3,1.21,1.18,1.36,1.34,1.42,1.47,1.56,1.61,1.68,1.72,1.82,1.94,-0.38,-0.243589744,20.2,4.8,0.54,6137.28,690.444,1,0,0,0.87,1.41,-0.54,-0.38,0.77,1.72,-0.95,-0.55,2.32,0.47,1.85,3.94,1.65,2.12,-0.47,-0.22,0.07,0.24,0,0.16,1,1,0,1,,1.1,,,,,,,0.85,39.44,-38.59,-0.98,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,2016,0,1117.3,1278.6,1200.2,-82.9,-0.07,,,,,,,,,4337141,5851479,1514338,138.788512,193.098807,1.03125
Lesotho,LM,Sub-Saharan Africa,21.2,21,20.1,18.6,0.9,0.04,17.8,17.6,16.8,15.4,24.4,24.1,23.2,21.5,,2.88,2.66,2.64,2.51,2.45,2.86,2.98,2.97,2.9,2.82,2.49,0.02,0.006993007,50.8,1.8,0.82,341.82,155.718,1,0,0,0.1,0.05,0.05,1,4.67,1.92,2.75,1.43,0.1,0.14,-0.04,-0.29,0.29,0.14,0.15,1.07,0.05,0.53,0,0,1,1,0,0,4.58,0,4.58,,0,0,0,,7.15,2.88,4.27,1.48,,,,,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,,0,0,,0,251.1,189.9,157.9,93.2,0.59,,,,,47.5,44,-3.5,-0.07,2040551,2174645,134094,410.150751,456.67545,1.044776119
Liberia,L,Sub-Saharan Africa,6.8,6.5,6.5,6.8,0,0,7.1,6.7,6.8,7.1,6.6,6.3,6.1,6.6,,3.51,3.47,3.72,3.75,3.74,3.63,3.75,3.89,4.04,4.05,4.19,-0.12,-0.033057851,41.3,,,,,0,1,1,0.02,0.02,0,0,0.3,146.28,-145.98,-1,0.05,,,,,,,,,0.02,,,1,1,1,1,,,,,,,,,1.82,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,127.8,77.3,68.7,59.1,0.86,,,,,68.7,63.3,-5.4,-0.08,3948125,4499621,551496,256.628125,292.475365,1
Libya,UM,Middle East & North Africa,5.2,4.2,5.4,5.6,-1.2,-0.22,8.1,6.3,8.3,8.3,2.2,2,2.4,2.7,,,,0,0.01,0,0,0.01,0.01,0.01,0.01,0,,,2.1,,,,,,,,,,,,5.18,,,,0.58,,,,1.04,,,,,,,,1,1,1,1,,,,,,,,,9.6,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,0,0,,0,,627.3,957.3,-957.3,-1,,,,,,,,,6169140,6234955,65815,333.13356,261.86811,0.777777778
Lithuania,H,Europe & Central Asia,31.9,34.9,37.3,43.9,-2.4,-0.06,58.1,61.7,66.1,77.6,9.5,11.9,12.8,14.7,13.61,14.42,14.82,15.14,15.15,14.88,13.61,12.4,13.3,13.4,12.7,12.3,0.81,0.059515062,62.3,,,,,1,1,1,,17.76,,,,,,,,,,,,,,,0.34,2.73,0.37,,1,1,1,1,33.44,,,,,,,,65.32,106.07,-40.75,-0.38,1,2,0,2,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1998,1,0,2014,1,1874.6,1472.3,1352.4,522.2,0.39,6.870100021,3.941900015,-2.928200006,-43%,2.5,3.1,0.6,0.24,3097282,2904910,-192372,1155.286186,1013.81359,0.935656836
Luxembourg,H,Europe & Central Asia,13.5,14.7,12.9,14.3,1.8,0.14,18.6,21.4,18.2,21.7,8.3,7.9,7.7,7.1,11.22,11.83,11.69,11.55,11.89,12.01,11.72,11.6,11.72,11.94,12.17,12.02,0.11,0.009385666,52.7,,,,,1,1,1,,21.15,,,,,,,,,,,,,,,0.2,2.44,4.27,23.18,1,1,1,1,37.82,41.28,-3.46,-0.08,,42.09,,,87.32,48.19,39.13,0.81,,,,,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,,0,0,,0,6381.5,5694.9,6089.7,291.8,0.05,4.687600136,5.170400143,0.482800007,10%,0,0,0,,506953,569604,62651,65.396937,83.731788,
Madagascar,L,Sub-Saharan Africa,3.9,4,4.3,4.5,-0.3,-0.07,5.6,5.7,6.2,6.4,2.2,2.2,2.5,2.7,0.89,0.87,0.88,0.87,0.93,0.97,1.03,0.91,0.68,0.71,0.68,0.83,-0.16,-0.155339806,43.5,,,,,1,1,1,0.06,0.05,0.01,0.2,0.35,0.4,-0.05,-0.13,0.02,,,,0.05,,,,0,,,,0,1,1,1,0.69,0.72,-0.03,-0.04,0.09,,,,0.56,0.6,-0.04,-0.07,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1960,1,0,2010,1,76.7,68.4,72.9,3.8,0.05,,,,,82.2,83.6,1.4,0.02,21151640,24234088,3082448,909.52052,969.36352,0.930232558
Malawi,L,Sub-Saharan Africa,3.7,3.6,3.8,4.5,-0.2,-0.05,5.8,5.7,6.1,7.2,1.6,1.6,1.6,1.8,,2,1.99,1.99,1.83,1.86,1.67,1.78,1.94,1.98,1.98,1.48,0.33,0.19760479,46.6,1,,78.8,,1,0,0,,0.01,,,,0.22,,,,0.01,,,,0.02,,,0.02,,,,1,1,1,1,,,,,,,,, ,2.56,,,1,2,2,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,2016,0,0,,0,108.2,78.8,73.3,34.9,0.48,,,,,100,100,0,0,15167095,17573607,2406512,576.34961,632.649852,0.947368421
Malaysia,UM,East Asia & Pacific,5.5,5.4,5.1,5.4,0.3,0.06,7.8,7.6,7.3,7.7,3.2,3.1,2.8,2.9,0.63,0.64,0.58,0.59,0.53,0.51,0.49,0.47,0.47,0.43,0.43,0.46,0.15,0.306122449,31.2,0.39,,295.659,,1,1,1,0.76,0.83,-0.07,-0.08,,3.31,,,0.84,,,,0.89,0.29,0.6,2.07,0.01,2.58,0.23,,1,1,1,1,,3.28,,,,,,,14.05,15.01,-0.96,-0.06,2,1,0,2,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,2006,1,0,2016,0,1063.9,758.1,688.5,375.4,0.55,3.74000001,4.039999962,0.299999952,8%,11.7,8.8,-2.9,-0.25,28112289,30723155,2610866,1433.726739,1659.05037,1.058823529
Maldives,UM,South Asia,2.3,2.6,3.2,3.3,-0.6,-0.19,3,3.5,4.1,4.3,1.3,1.5,2,2.1,,1.32,1.32,1.33,1.31,1.89,1.72,1.62,1.72,1.69,1.57,1.35,-0.4,-0.23255814,4.6,,,,,0,0,0,3.7,1.59,2.11,1.33,0,40.46,-40.46,-1,0,0,0,,1.14,0,1.14,,0,0.32,0.32,0.32,0,1,1,1,1.14,0,1.14,,46.36,50.97,-4.61,-0.09,0,0,0,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,1513.9,1136.4,948.3,565.6,0.6,,,,,,,,,364511,418403,53892,11.664352,10.878478,
Mali,L,Sub-Saharan Africa,4.8,4.8,4.8,4.9,0,0,6.9,6.9,7,7.2,2.7,2.7,2.7,2.7,,0.58,0.58,0.58,0.61,0.6,0.58,0.56,0.58,0.55,0.55,0.54,0,0,34.3,,,,,0,0,0,0.04,0.04,0,0,0.08,0.26,-0.18,-0.69,0.01,0.11,-0.1,-0.91,0.01,0.02,-0.01,-0.5,0,0.04,,0.03,0,1,1,1,0.7,0.75,-0.05,-0.07,0.25,,,,1.25,0,1.25,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,,0,118.5,76.9,81.2,37.3,0.46,,,,,66.9,61,-5.9,-0.09,15075085,17467905,2392820,723.60408,838.45944,1
Malta,H,Middle East & North Africa,7.5,8,8,5.6,0,0,12.1,12.6,13.6,8.1,2.8,3.3,2.5,3.1,8.02,7.75,7.88,7.97,7.92,7.12,7.52,7.53,7.27,7.62,9.03,6.55,0.23,0.030585106,34.7,6.71,0.97,16480.431,2382.417,1,1,1,,3.17,,,,66.83,,,,5.12,,,,4.39,,,0.49,0.49,3.41,0.49,1,1,1,1,,3.66,,,,5.85,,, ,141.71,,,,,,,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,,0,0,,0,3470.9,2456.1,2290.2,1180.7,0.52,1.878999949,2.404599905,0.525599957,28%,0.1,0.1,0,0,414508,445053,30545,33.16064,35.60424,
Mauritania,LM,Sub-Saharan Africa,4.4,4.3,3.9,3.5,0.4,0.1,6.6,6.4,5.8,5.3,2.2,2.1,1.9,1.7,,0,0,0,0,0.01,0,0,0.02,0.02,0.01,0.01,0,,4.3,,,,,0,1,1,,0.09,,,,1.34,,,,0.3,,,,0.15,,,0.03,0.03,0.15,,1,1,1,1,,,,,,,,, ,1.19,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,177.1,106.8,108.4,68.7,0.63,,,,,57.2,49.4,-7.8,-0.14,3609543,4182341,572798,140.772177,179.840663,1.102564103
Mauritius,UM,Sub-Saharan Africa,7.8,8.5,8.1,8.8,0.4,0.05,13.3,12.8,12.7,13.7,2.4,4.2,3.6,3.9,,2.58,2.8,2.95,2.94,3.02,2.95,2.82,2.49,3.24,3.73,3.94,-0.37,-0.125423729,32.4,,,,,1,1,0,,1.62,,,,9.33,,,,0.23,,,,0.08,,,0.08,0.77,0,0,1,1,0,0,1.92,1.39,0.53,0.38,,0,,,80.05,53.99,26.06,0.48,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,0,0,,0,1098.6,714.2,716.6,382,0.53,6.385499954,10.72259998,4.337100029,68%,2.4,1.8,-0.6,-0.25,1250400,1262605,12205,101.2824,107.321425,1.049382716
Mexico,UM,Latin America & Caribbean,5.1,5.6,4.6,4.3,1,0.22,8,8.8,7.4,7.1,2.3,2.4,1.9,1.5,5.53,5.28,5.19,5.16,5.31,5.32,5.15,5.23,5.34,5.35,5.13,4.96,0.13,0.025242718,42.5,0.65,,594.75,,1,1,1,0.67,1.57,-0.9,-0.57,2.81,2.62,0.19,0.07,0.52,0.33,0.19,0.58,2.11,0.55,1.56,2.84,0.04,0.03,0.05,,1,1,1,1,0.12,0.08,0.04,0.5,0.05,,,,3.24,3.92,-0.68,-0.17,2,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,2007,1,0,2016,0,1008.7,915,887.8,120.9,0.14,5.747900009,5.16260004,-0.585299969,-10%,5.9,5.7,-0.2,-0.03,117318941,125890949,8572008,5396.671286,7049.893144,1.217391304
Micronesia (Federated States of),LM,East Asia & Pacific,11.1,11.4,11.1,11.9,0.3,0.03,15.8,16.1,15.3,16.2,6.3,6.5,6.7,7.6,,1.59,1.59,1.67,2.98,1.91,1.78,2.05,1.97,1.63,1.73,1.9,-0.19,-0.106741573,62.4,,,,,0,1,1,,0.9,,,,6.3,,,,0,,,,0,,,0,3.6,3.6,0,0,1,1,0,5.78,0,5.78,,0,0,0,,11.14,0,11.14,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,457.9,440.7,427.4,30.5,0.07,,,,,,,,,103616,104433,817,11.501376,11.905362,
Mongolia,LM,East Asia & Pacific,13,13.1,16.6,17.1,-3.5,-0.21,22.6,22.8,28.5,28.3,3.5,3.7,4.9,6,,5.66,5.74,5.64,5.51,5.38,5.06,4.64,4.14,3.61,3.44,2.73,0.6,0.118577075,48.7,2,0.94,610.2,286.794,1,1,1,,0.52,,,,7.7,,,,0.15,,,,0.19,,,0.04,1.26,0.26,0.22,1,1,1,1,,3.89,,,,,,, ,16.66,,,1,2,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,,0,0,,0,469.6,305.1,273.6,196,0.72,6.366499901,5.329500198,-1.036999702,-16%,,,,,2712650,2976877,264227,450.2999,389.970887,0.789156627
Montenegro,UM,Europe & Central Asia,10.3,10,10.4,11.4,-0.4,-0.04,15.4,14.9,15.2,16.4,5.3,5.2,5.7,6.6,,6.41,6.53,6.47,6.49,6.38,7.26,7.26,6.94,5.69,6.53,,-0.85,-0.11707989,45.2,,,,,1,1,1,8.69,7.03,1.66,0.24,22.36,17.27,5.09,0.29,1.61,1.12,0.49,0.44,2.57,2.24,0.33,0.15,0.48,,0,,1,1,0,1,4.83,4.8,0.03,0.01,0,0,0,,41.99,53.08,-11.09,-0.21,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2012,0,1,2016,1,957,836.8,793.7,163.3,0.21,,,,,0.3,0.7,0.4,1.33,619428,622159,2731,64.420512,62.2159,
Morocco,LM,Middle East & North Africa,2.9,2.9,3.7,5.3,-0.8,-0.22,2.3,2.3,2.7,4.2,3.4,3.6,4.7,6.3,,0.38,0.5,0.53,0.54,0.54,0.55,0.62,0.57,0.56,0.58,0.53,-0.17,-0.309090909,17.7,,,,,1,1,1,0.45,0.9,-0.45,-0.5,4.1,2.33,1.77,0.76,0.03,0.01,0.02,2,0.05,0.04,0.01,0.25,0.03,0.25,0,,1,1,0,1,2.08,2.39,-0.31,-0.13,0,,,,4.24,4.51,-0.27,-0.06,2,2,1,2,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,,0,0,,0,435.3,389.1,375.7,59.6,0.16,,,,,19.6,16,-3.6,-0.18,32409639,34803322,2393683,1199.156643,1009.296338,0.783783784
Mozambique,L,Sub-Saharan Africa,4.9,4.9,5.6,6.7,-0.7,-0.13,7.4,7.4,8.2,9.8,2.5,2.6,3,3.8,1.29,1.23,1.1,1,0.99,0.93,0.85,0.74,0.76,0.69,0.6,0.62,0.38,0.447058824,43.7,0.16,,6.784,,0,1,0,0.05,0.04,0.01,0.25,0.72,0.19,0.53,2.79,0.01,0.02,-0.01,-0.5,0.34,0.24,0.1,0.42,0.01,0.35,0.02,0,1,1,1,0,0.51,0.84,-0.33,-0.39,,0,,,1.99,2.16,-0.17,-0.08,1,1,2,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,,0,0,,0,63.7,42.4,46,17.7,0.38,,,,,75.8,70.1,-5.7,-0.08,24221405,28010691,3789286,1356.39868,1372.523859,0.875
Myanmar,LM,East Asia & Pacific,7.8,7.6,7.3,7.7,0.3,0.04,5.9,5.8,5.6,5.4,9.5,9.3,8.9,9.9,,1.6,1.78,1.67,1.36,1.09,0.97,0.86,0.78,0.72,0.65,0.62,0.63,0.649484536,33.4,,0.74,,48.692,1,1,1,0.29,0.09,0.2,2.22,0.25,0.19,0.06,0.32,0.01,0.01,0,0,0,0,0,,0,0.07,0,0,0,1,0,0,0.41,0.3,0.11,0.37,,0.04,,,2.61,2.48,0.13,0.05,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,,0,267.2,65.8,67.7,199.5,2.95,,,,,,,,,50155896,52403669,2247773,3661.380408,3982.678844,1.04109589
Namibia,UM,Sub-Saharan Africa,8.7,9,10.4,10.4,-1.4,-0.13,14.1,14.5,16.9,16.9,3.6,3.8,4.3,4.2,,7.83,7.83,7.83,6.34,7.71,7.44,7.87,6.16,5,4.84,4.74,0.39,0.052419355,59.7,,,,,1,1,1,0.34,0.23,0.11,0.48,5.32,5.88,-0.56,-0.1,0.17,0.09,0.08,0.89,1.79,1.36,0.43,0.32,0,0.09,0,0.05,0,1,0,1,12.01,8.27,3.74,0.45,0,0,0,,0,0,0,,,,,,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,,0,0,,0,942.5,847.3,784.8,157.7,0.2,,,,,30,24.8,-5.2,-0.17,2173170,2425561,252391,226.00968,218.30049,0.865384615
Nepal,L,South Asia,8.8,9.1,10.5,12.5,-1.4,-0.13,9.7,10,10.7,13,7.9,8.3,10.2,12,,0.58,0.69,0.6,0.26,0.25,0.23,0.22,0.21,0.2,0.2,0.23,0.35,1.52173913,36.7,0.7,,72.17,,0,0,1,0.22,0.18,0.04,0.22,,0.25,,,,,,,,0.04,,,0,0.08,0.01,,0,1,1,1,,1.34,,,,,,,0.18,0.15,0.03,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,150.6,103.1,96.8,53.8,0.56,,,,,78.5,70.3,-8.2,-0.1,27023137,28656282,1633145,2837.429385,2607.721662,0.866666667
Netherlands,H,Europe & Central Asia,12.6,12.5,10,9.9,2.5,0.25,16.2,16,14,13.5,9,9,6,6.4,,8.03,8.16,8.54,9.28,9.17,9.32,9.22,9.61,9.51,9.78,9.67,-1.29,-0.138412017,38.1,10.65,0.59,51728.115,2865.689,1,1,1,20.1,18.77,1.33,0.07,2.87,132.26,-129.39,-0.98,,,,,90.76,15.05,75.71,5.03,0.56,1.19,260.08,0.12,1,1,1,1,10.5,10.51,-0.01,0,78.7,76.26,2.44,0.03,,127.3,-127.3,-1,2,2,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,2007,1,0,2016,0,5313.2,4857.1,4649.3,663.9,0.14,2.685300112,4.101299763,1.415999651,53%,0,0,0,,16615394,16939923,324529,1661.5394,2117.490375,1.25
New Zealand,H,East Asia & Pacific,12.1,12.1,13,13.3,-0.9,-0.07,17.9,17.9,18.6,19.7,6.6,6.6,7.5,7.1,9.24,8.87,9.15,9.25,9.24,9.48,9.63,9.23,9.47,9.19,9.35,9.33,-0.76,-0.078920042,42.9,10,0.16,31065,497.04,1,1,1,,9.76,,,,89.32,,,,,,,,13.78,,,0,,,,0,1,1,1,20.04,21.35,-1.31,-0.06,18.11,37.39,-19.28,-0.52,38.89,0,38.89,,2,2,1,2,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1996,1,0,2015,1,3530.1,3106.5,3006.4,523.7,0.17,,,,,,,,,4350700,4595700,245000,565.591,556.0797,0.930769231
Nicaragua,LM,Latin America & Caribbean,12.2,12.2,12.5,14.4,-0.3,-0.02,19.3,19.3,19.3,21.8,5.3,5.4,5.9,7.1,3.86,3.73,3.54,3.56,3.61,3.36,3.34,3.32,3.58,3.77,3.63,3.64,0.39,0.116766467,38.7,1,0.91,299.5,272.545,0,1,0,,0.88,,,,1.65,,,,0.38,,,,2.04,,,0.02,0.58,0.07,0.27,1,1,1,1,,,,,,,,, ,3.37,,,2,2,2,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,,0,0,,0,406,299.5,256.6,149.4,0.58,,,,,32.9,29.6,-3.3,-0.1,5737723,6082035,344312,717.215375,742.00827,0.976
Niger,L,Sub-Saharan Africa,4.6,4.7,4.9,4.9,-0.2,-0.04,5.9,6,6.1,6.1,3.3,3.3,3.6,3.7,,0.11,0.11,0.1,0.16,0.13,0.11,0.1,0.11,0.1,0.1,0.1,0,0,32.2,,,,,0,1,0,0.02,0.03,-0.01,-0.33,0.1,0.13,-0.03,-0.23,0.02,0.01,0.01,1,0.03,0.13,-0.1,-0.77,0,0.03,0.03,0,0,1,1,0,0.87,1.01,-0.14,-0.14,,0,,,0.9,0,0.9,,0,1,0,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1983,1,0,1984,0,68.5,51.7,49.8,18.7,0.38,,,,,95,93.4,-1.6,-0.02,16425578,19896965,3471387,804.853322,935.157355,0.959183673
Nigeria,LM,Sub-Saharan Africa,9.5,9.6,10,9.6,-0.4,-0.04,9.9,9.7,9,9.2,9.2,9.5,10.9,10.1,,9.62,9.64,9.63,9.9,10.13,10.31,10.49,10.71,10.98,11.09,11.16,-0.69,-0.066925315,55,,,,,1,1,1,0.1,0.06,0.04,0.67,0.7,0.19,0.51,2.68,0.04,0.02,0.02,1,0.02,0.02,0,0,0.01,0.03,,,1,1,1,1,0.21,,,,,,,,1.32,2.53,-1.21,-0.48,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,,0,215.2,173.6,164.9,50.3,0.31,,,,,47.3,44.2,-3.1,-0.07,158578261,181181744,22603483,15857.8261,17393.44742,0.96
Norway,H,Europe & Central Asia,12.2,12.4,12.6,12.7,-0.2,-0.02,15.9,15.6,16.5,16.5,8.4,9.1,8.6,8.9,6.03,5.97,6.06,6.22,6.21,6.44,6.59,6.68,6.75,6.6,6.47,6.37,-0.62,-0.094081942,40.5,,,,,1,1,1,29.69,30.77,-1.08,-0.04,123.08,120.88,2.2,0.02,26.45,,,,54.28,0.45,53.83,119.62,0.39,3.6,,,1,1,1,1,,,,,,,,,84.55,89.14,-4.59,-0.05,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1998,1,0,2012,1,6221.6,5492.1,5200.6,1021,0.2,1.853999972,2.493400097,0.639400125,34%,0,0,0,,4889252,5190239,300987,616.045752,643.589636,0.984126984
Oman,H,Middle East & North Africa,3.9,4.1,3.7,3.4,0.4,0.11,5.6,5.9,5.5,5.3,0.8,0.8,0.8,0.9,0.39,0.39,0.39,0.42,0.48,0.51,0.53,0.53,0.54,0.54,0.56,0.62,-0.14,-0.264150943,28.6,,,,,0,1,1,2.32,2.31,0.01,0,12.71,6.57,6.14,0.93,0.26,0.07,0.19,2.71,0.38,0.17,0.21,1.24,0.03,0.89,0,0,1,1,0,0,0.26,0.41,-0.15,-0.37,,0,,,5.6,2.2,3.4,1.55,2,2,0,2,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,,0,0,,0,1635.9,1074.3,1218.9,417,0.34,,,,,,,,,3041460,4199810,1158350,112.53402,172.19221,1.108108108
Pakistan,LM,South Asia,2.9,2.9,3.1,3.5,-0.2,-0.06,2.7,2.8,2.8,3,3,3.1,3.4,4.1,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0,0,5.3,,,,,1,1,1,0.31,0.19,0.12,0.63,15.43,7.38,8.05,1.09,2.32,1.7,0.62,0.36,1.09,0.26,0.83,3.19,0,2.02,0,0,0,1,0,0,2.28,1.75,0.53,0.3,1.2,0,1.2,,2.1,0.99,1.11,1.12,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,0,0,,0,134.4,101.6,109,25.4,0.23,4.311900139,40.18740082,35.87550068,832%,42.1,36.4,-5.7,-0.14,170560182,189380513,18820331,5287.365642,5492.034877,0.935483871
Panama,H,Latin America & Caribbean,4.3,3.9,5.1,6.3,-1.2,-0.24,7.4,6.5,8.6,10.7,1.2,1.3,1.5,1.8,6.69,6.92,7.29,7.35,7.11,7.05,6.9,6.9,6.74,6.15,5.73,5.55,0.02,0.002898551,44.5,,,,,0,1,1,3.8,3.99,-0.19,-0.05,5.94,2.74,3.2,1.17,3.01,,,,3.39,,,,0,2.99,0.03,0,0,1,1,0,6.06,2.91,3.15,1.08,,0,,,3.82,0,3.82,,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,0,0,,0,1542.8,1020.6,1002.7,540.1,0.54,3.956099987,1.941699982,-2.014400005,-51%,15.3,12.3,-3,-0.2,3643222,3969249,326027,185.804322,154.800711,0.764705882
Papua New Guinea,LM,East Asia & Pacific,6,6,5.4,5.8,0.6,0.11,8.6,8.5,7.6,8.1,3.3,3.4,3.2,3.4,,0.71,0.76,0.83,0.87,0.88,0.79,0.82,0.81,0.71,0.64,0.84,-0.08,-0.101265823,60.7,0.1,,7.24,,1,1,1,0.09,0.09,0,0,,2.9,,,,0.07,,,,0.01,,,0.01,0.29,0.29,0,1,1,1,0,0.27,0.29,-0.02,-0.07,,0,,,1.07,1.16,-0.09,-0.08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,98.6,72.4,63.2,35.4,0.56,,,,,64.5,35,-29.5,-0.46,7108239,7919825,811586,383.844906,475.1895,1.111111111
Paraguay,UM,Latin America & Caribbean,9.5,9.9,9.3,10.1,0.6,0.06,12.4,13,12.2,13.3,6.5,6.6,6.3,6.8,5.8,5.63,6.07,6.14,6.17,6.6,6.81,6.64,7.69,6.66,6.51,5.98,-1.18,-0.173274596,48.2,0.31,,156.55,,0,1,1,2,0.84,1.16,1.38,4,3.73,0.27,0.07,0.41,0.33,0.08,0.24,3.41,2.07,1.34,0.65,0.02,0.62,0.02,0.05,1,1,1,1,0.23,0.23,0,0,0.81,0.43,0.38,0.88,4.93,4.64,0.29,0.06,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2011,0,1,,1,724.3,505,444.7,279.6,0.63,2.765399933,3.293200016,0.527800083,19%,29,22.4,-6.6,-0.23,6209877,6639119,429242,577.518561,657.272781,1.064516129
